Issue Type,Category,Course Name,Assignee,Assignee Id,Status,Created,Updated
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Capture and Validation Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/19/2024 17:00,10/14/2024 6:04
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Capture and Validation Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/19/2024 19:37,9/24/2024 9:32
I've got a problem!,My Issue isn't listed here,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/19/2024 22:04,9/27/2024 6:01
I've got a problem!,I can't enroll on a course,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/19/2024 23:33,10/7/2024 21:21
I've got a problem!,I'm having an issue with my certificate,Aggregate Data Capture and Validation Fundamentals,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/20/2024 0:06,9/23/2024 8:58
I've got a problem!,I'm having an issue with a particular question or module in a course,Aggregate Data Capture and Validation Fundamentals,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/20/2024 4:10,9/26/2024 6:03
I've got a problem!,My Issue isn't listed here,DHIS2 Events Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/20/2024 12:06,9/24/2024 9:49
I've got a problem!,My Issue isn't listed here,Other,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/20/2024 14:21,9/23/2024 10:18
I've got a problem!,"I've finished the course, but it isn't reflected in my course grade",Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/20/2024 16:12,9/27/2024 6:01
I've got a problem!,I'd like to retake a module/the course,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/21/2024 3:57,9/25/2024 17:05
I've got a problem!,My Issue isn't listed here,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/21/2024 10:22,9/29/2024 6:00
I've got a problem!,I can't remember my DHIS2 Academy Username and/or Password,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/21/2024 12:40,9/29/2024 6:00
I've got a problem!,I can't login to Trainingland,Introduction to DHIS2,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/21/2024 13:03,9/26/2024 12:54
I've got a problem!,I'd like to retake a module/the course,Introduction to DHIS2,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/21/2024 13:54,9/23/2024 9:09
I've got a problem!,I'm having an issue with my certificate,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/22/2024 10:12,9/30/2024 6:03
I've got a problem!,I'm having an issue with my certificate,Aggregate Data Capture and Validation Fundamentals,Al-Gassim Sharaf Addin,6087c935543264006846ebd1,Done,9/22/2024 11:13,10/4/2024 17:51
I've got a problem!,I'm having an issue in Trainingland,Data Quality Level 2 Academy,Grant Chapman-Clarke,5ef5e77049ee4d0abc47f2df,Done,9/22/2024 11:25,9/29/2024 6:00
I've got a problem!,I'm having an issue in Trainingland,Other,Simona Sekerova,5f1562eb9e8ba30016f0da69,Duplicate,9/22/2024 11:55,9/22/2024 20:34
I've got a problem!,I'm having an issue in Trainingland,Introduction to DHIS2,Simona Sekerova,5f1562eb9e8ba30016f0da69,Done,9/22/2024 12:04,10/11/2024 6:00
